742,00
292,00
746,00
-494,00
-526,50
742,00
742,00
742,00
-577,50
742,00
746,00
377,00
742,00
-758,00
-721,00
742,00
-530,00
-547,50
746,00
43,50
-187,00
-758,00
-541,00
-659,50
-754,00
-505,50
-758,00
742,00
742,00
478,50
-640,00
756,00
-537,50
-587,50
-289,50
51,00
-273,50
746,00
-272,00
-175,50
-449,00
470,50
-629,00
149,00
-758,00
-568,50
-444,50
742,00
742,00
-254,00
-555,00
742,00
-154,00
742,00
742,00
746,00
-77,50
8,50
78,50
-239,50
742,00
-517,00
742,00
746,00
-316,50
-307,50
236,00
-758,00
742,00
-480,50
-509,00
-494,00
231,50
746,00
55,00
746,00
-334,50
-57,50
742,00
746,00
-324,00
-414,00
742,00
-269,00
-414,00
-77,50
746,00
-89,50
1.265,00
5,50
-758,00
-758,00
742,00
-370,50
746,00
-404,00
124,00
742,00
746,00
-192,00
-185,00
36,00
742,00
742,00
746,00
-131,50
746,00
-186,50
-548,00
742,00
746,00
-313,50
-115,50
-397,00
-560,00
-95,50
-95,00
-338,00
-424,00
-181,50
746,00
-274,00
-235,00
-202,00
273,50
-594,00
-225,00
-548,00
742,00
742,00
-325,50
-205,50
-511,50
-124,00
-295,00
-82,00
-259,00
-758,00
742,00
-758,00
797,00
-758,00
742,00
-754,00
-401,00
-477,50
150,50
82,50
746,00
-469,00
69,50
742,00
-135,50
-272,00
-457,50
-435,50
127,00
753,00
742,00
742,00
742,00
746,00
-220,50
-368,00
-758,00
742,00
-188,50
-559,00
-111,00
-476,50
-316,00
-758,00
742,00
-758,00
742,00
742,00
742,00
-758,00
-758,00
277,50
746,00
-61,00
-315,00
-758,00
